District.ID,Year,Annual.Rainfall
Kupwara (Muzaffarabad),1901,6337.21
Baramula (Kashmir North),1901,8163.36
Srinagar,1901,7074.23
Bagdam,1901,7808.58
Pulwama,1901,7104.09
Anantnag (Kashmir South),1901,6686.62
Ladakh (Leh),1901,5236.88
Kargil,1901,5397.19
Doda,1901,5696.28
Udhampur,1901,5854.41
Punch,1901,8449.51
Rajauri,1901,7548.26
Jammu,1901,5937.07
Kathua,1901,4491.1
Chamba,1901,5190.51
Kangra,1901,4188.21
Lahul and Spiti,1901,6641.92
Kullu,1901,6395.77
Mandi,1901,4582.09
Hamirpur,1901,3641.06
Una,1901,2811.77
Solan,1901,3124.92
Sirmaur,1901,3424.38
Shimla,1901,5277.89
Kinnaur,1901,7109.79
Gurdaspur,1901,3782.44
Amritsar,1901,3427.44
Kapurthala,1901,2515.04
Jalandhar,1901,2365.33
Hoshiarpur,1901,2717.87
Nawan Shehar,1901,2457.61
Rupnagar,1901,2636.85
Fatehgarh Sahib,1901,2283.01
Ludhiana,1901,2115.96
Moga,1901,1984.45
Firozpur,1901,2129.25
Muktsar,1901,1874.02
Faridkot,1901,1951.07
Bathinda,1901,1844.61
Mansa,1901,1931.6
Sangrur,1901,2036.03
Patiala,1901,2402.11
Chandigarh,1901,2657
Uttarkashi,1901,6840.16
Chamoli,1901,7091.23
Rudra Prayag,1901,6877.33
Tehri Garhwal,1901,5349.8
Dehra Dun,1901,3753.66
Pauri Garhwal,1901,4259.7
Pithoragarh,1901,8164.02
Bageshwar,1901,6615.13
Almora,1901,4889.09
Champawat,1901,4533.36
Naini Tal,1901,4012.64
Udham Singh Nagar,1901,3845.15
Haridwar,1901,3250.03
Panchkula,1901,2869.33
Ambala,1901,2657.22
Yamuna Nagar,1901,2735.69
Kurukshetra,1901,2518.94
Kaithal,1901,2342.57
Karnal,1901,2484.38
Panipat,1901,2458.99
Sonepat,1901,2504.2
Jind,1901,2322.08
Fatehabad,1901,2006.31
Sirsa,1901,1856.26
Hisar,1901,2175.36
Bhiwani,1901,2278.34
Rohtak,1901,2382.84
Jhajjar,1901,2455.14
Mahendragarh,1901,2518.11
Rewari,1901,2620.59
Gurgaon,1901,2924.39
Faridabad,1901,3015.16
Delhi,1901,2793.92
Ganganagar,1901,1772.34
Hanumangarh,1901,1815.29
Bikaner,1901,1387.63
Churu,1901,1808.41
Jhunjhunun,1901,2200.18
Alwar,1901,2916.04
Bharatpur,1901,3234.3
Dhaulpur,1901,3401.73
Karauli,1901,3126.82
Sawai Madhopur,1901,2922.11
Dausa,1901,2748.63
Jaipur,1901,2590.71
Sikar,1901,2245.35
Nagaur,1901,1925.3
Jodhpur,1901,1477.94
Jaisalmer,1901,1044.42
Barmer,1901,1302.09
Jalor,1901,1650.17
Sirohi,1901,2204.04
Pali,1901,2284.63
Ajmer,1901,2557.28
Tonk,1901,2813.54
Bundi,1901,3213.37
Bhilwara,1901,2877.58
Rajsamand,1901,2941.75
Udaipur,1901,2948.33
Dungarpur,1901,2944.75
Banswara,1901,3185.3
Chittaurgarh,1901,3208.12
Kota,1901,3547.78
Baran,1901,3808.27
Jhalawar,1901,3982.07
Saharanpur,1901,2862.38
Muzaffarnagar,1901,2937.2
Bijnor,1901,3507.33
Moradabad,1901,3542.9
Rampur,1901,3579.78
Jyotiba Phule Nagar,1901,3467.46
Meerut,1901,3158.28
Baghpat,1901,2746.53
Ghaziabad,1901,3125.2
Gautam Buddha Nagar,1901,3184.57
Bulandshahr,1901,3319.99
Aligarh,1901,3374.85
Hathras,1901,3399.71
Mathura,1901,3260.18
Agra,1901,3431.4
Firozabad,1901,3492.75
Etah,1901,3522.68
Mainpuri,1901,3357.11
Badaun,1901,3617.49
Bareilly,1901,3749.69
